Model,PartNumber,Date,Cycle Time
Switchback,47272463+C,2022-12-15 00:00:00,135.0466799
Switchback,47272463+C,2022-12-14 00:00:00,141.7879504
Switchback,47272463+C,2022-12-14 00:00:00,148.4422866
Switchback,47272463+C,2022-12-15 00:00:00,142.6110692
Switchback,47272463+C,2022-12-15 00:00:00,138.2770796
Switchback,47272463+C,2022-12-15 00:00:00,148.9969283
Switchback,47272463+C,2022-12-15 00:00:00,136.8046822
Switchback,47272463+C,2022-12-15 00:00:00,148.9818886
Switchback,47272463+C,2022-12-15 00:00:00,135.935264
Switchback,47272463+C,2022-12-15 00:00:00,177.2046248
Switchback,47272463+C,2022-12-15 00:00:00,190.3594256
Switchback,47272463+C,2022-12-20 00:00:00,148.8511944
Switchback,47272463+C,2022-12-15 00:00:00,132.755928
Switchback,47272463+C,2022-12-15 00:00:00,139.1152199
Switchback,47272463+C,2022-12-15 00:00:00,134.2216946
Switchback,47272463+C,2022-12-15 00:00:00,136.9822573
Switchback,47272463+C,2022-12-15 00:00:00,162.6243238
Switchback,47272463+C,2022-12-15 00:00:00,132.4839631
Switchback,47272463+C,2022-12-15 00:00:00,134.2388654
Switchback,47272463+C,2022-12-15 00:00:00,150.8191693
Switchback,47272463+C,2022-12-15 00:00:00,134.6521989
Switchback,47272463+C,2022-12-15 00:00:00,148.5735645
Switchback,47272463+C,2022-12-15 00:00:00,161.9981442
Switchback,47272463+C,2022-12-15 00:00:00,134.4278593
Switchback,47272463+C,2022-12-15 00:00:00,177.710721
Switchback,47272463+C,2022-12-15 00:00:00,164.5391023
Switchback,47272463+C,2022-12-15 00:00:00,135.0918337
Switchback,47272463+C,2022-12-15 00:00:00,149.2840314
Switchback,47272463+C,2022-12-15 00:00:00,147.3836556
Switchback,47272463+C,2022-12-15 00:00:00,133.4910825
Switchback,47272463+C,2022-12-16 00:00:00,140.7187481
Switchback,47272463+C,2022-12-15 00:00:00,150.3163904
Switchback,47272463+C,2022-12-15 00:00:00,136.0542061
Switchback,47272463+C,2022-12-15 00:00:00,189.5269026
Switchback,47272463+C,2022-12-15 00:00:00,140.5021454
Switchback,47272463+C,2022-12-15 00:00:00,205.2909055
Switchback,47272463+C,2022-12-15 00:00:00,166.1222756
Switchback,47272463+C,2022-12-15 00:00:00,140.9210011
Switchback,47272463+C,2022-12-15 00:00:00,148.1743178
Switchback,47272463+C,2022-12-15 00:00:00,148.565074
Switchback,47272463+C,2022-12-15 00:00:00,152.2336501
Switchback,47272463+C,2022-12-15 00:00:00,136.7572495
Switchback,47272463+C,2022-12-15 00:00:00,164.3197584
Switchback,47272463+C,2022-12-15 00:00:00,151.5420561
Switchback,47272463+C,2022-12-15 00:00:00,134.7517554
Switchback,47272463+C,2022-12-20 00:00:00,154.7915873
Switchback,47272463+C,2022-12-15 00:00:00,136.3302563
Switchback,47272463+C,2022-12-15 00:00:00,152.5315234
Switchback,47272463+C,2022-12-15 00:00:00,162.7953427
Switchback,47272463+C,2022-12-15 00:00:00,169.6859742
Switchback,47272463+C,2022-12-15 00:00:00,140.1057673
Switchback,47272463+C,2022-12-15 00:00:00,134.1261798
Switchback,47272463+C,2022-12-15 00:00:00,135.7228484
Switchback,47272463+C,2022-12-15 00:00:00,139.2205217
Switchback,47272463+C,2022-12-15 00:00:00,134.2103419
Switchback,47272463+C,2022-12-15 00:00:00,133.9687881
Switchback,47272463+C,2022-12-15 00:00:00,160.6281442
Switchback,47272463+C,2022-12-15 00:00:00,176.2733203
Switchback,47272463+C,2022-12-15 00:00:00,139.7014278
Switchback,47272463+C,2022-12-15 00:00:00,162.8798223
Switchback,47272463+C,2022-12-15 00:00:00,152.8482904
Switchback,47272463+C,2022-12-15 00:00:00,163.5274438
Switchback,47272463+C,2022-12-15 00:00:00,137.864655
Switchback,47272463+C,2022-12-15 00:00:00,148.204984
Switchback,47272463+C,2022-12-15 00:00:00,160.7674874
Switchback,47272463+C,2022-12-15 00:00:00,135.8092451
Switchback,47272463+C,2022-12-15 00:00:00,153.273242
Switchback,47272463+C,2022-12-16 00:00:00,148.8920928
Switchback,47272463+C,2022-12-16 00:00:00,185.8848533
Switchback,47272463+C,2022-12-16 00:00:00,136.1447126
Switchback,47272463+C,2022-12-16 00:00:00,162.9656335
Switchback,47272463+C,2022-12-16 00:00:00,162.5849606
Switchback,47272463+C,2022-12-16 00:00:00,133.7226626
Switchback,47272463+C,2022-12-16 00:00:00,176.406585
Switchback,47272463+C,2022-12-16 00:00:00,139.4882862
Switchback,47272463+C,2022-12-16 00:00:00,137.1541934
Switchback,47272463+C,2022-12-16 00:00:00,151.2570465
Switchback,47272463+C,2022-12-16 00:00:00,188.5262026
Switchback,47272463+C,2022-12-16 00:00:00,148.9279116
Switchback,47272463+C,2022-12-16 00:00:00,141.7383751
